case,h,reference_h,t_final,block,status,error_message,rows,independent_of_residual_black_box,quadrature_weighted,h_sweep_present,max_independent_block_residual_norm,max_reference_block_residual_norm,max_block_equivalence_norm,equivalence_tolerance,diagonal_equivalent_to_gauss6,full_tfe_stage_replacement,notes
cylindrical_smooth,0.01,0.005,0.08,angular_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,4.5293865928666628e-16,4.5293865928666628e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.01,0.005,0.08,newton_euler_weak_balance,implemented_equivalent_not_full_tfe,,36,True,True,True,7.7292752487181688e-16,7.7257458704372316e-16,7.9587496473212273e-18,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.01,0.005,0.08,lower_pair_index3_weak_constraints,implemented_equivalent_not_full_tfe,,24,True,True,True,7.0076572711879113e-17,7.0076572711879113e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.04,0.005,0.08,translational_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,2.4747963420603054e-17,2.4747963420603054e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.04,0.005,0.08,rotational_lie_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,7.4989959776493981e-17,7.4989959776493981e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.04,0.005,0.08,translational_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,2.5005973895089212e-16,2.5005973895089212e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.04,0.005,0.08,angular_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,8.2783337193943649e-16,8.2783337193943649e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.04,0.005,0.08,newton_euler_weak_balance,implemented_equivalent_not_full_tfe,,36,True,True,True,9.7567151387664193e-14,9.7567174329384692e-14,1.6958936828758674e-17,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.04,0.005,0.08,lower_pair_index3_weak_constraints,implemented_equivalent_not_full_tfe,,24,True,True,True,9.9105101574122304e-17,9.9105101574122304e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.02,0.005,0.08,translational_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.3781146058819747e-17,1.3781146058819747e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.02,0.005,0.08,rotational_lie_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,6.7333028977081240e-17,6.7333028977081240e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.02,0.005,0.08,translational_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.8810904947824317e-16,1.8810904947824317e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.02,0.005,0.08,angular_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,7.3011721988484477e-16,7.3011721988484477e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,implemented_equivalent_not_full_tfe,,36,True,True,True,9.8800321356441386e-16,9.8800321356441386e-16,1.3970000036909087e-17,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.02,0.005,0.08,lower_pair_index3_weak_constraints,implemented_equivalent_not_full_tfe,,24,True,True,True,8.5142151928362677e-17,8.5142151928362677e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.01,0.005,0.08,translational_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.1853879550862976e-17,1.1853879550862976e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.01,0.005,0.08,rotational_lie_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,3.0711954335375471e-17,3.0711954335375471e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.01,0.005,0.08,translational_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.5417046308095552e-16,1.5417046308095552e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.01,0.005,0.08,angular_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,4.0511838018643708e-16,4.0511838018643708e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,implemented_equivalent_not_full_tfe,,36,True,True,True,3.0172535777389561e-13,3.0172484950310621e-13,9.4350814450061264e-18,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_sharp,0.01,0.005,0.08,lower_pair_index3_weak_constraints,implemented_equivalent_not_full_tfe,,24,True,True,True,4.2681466098832685e-17,4.2681466098832685e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
