case,h,reference_h,t_final,block,component,status,error_message,body_index,component_kind,component_source_dim,component_lifted_rows,block_source_dim,block_lifted_rows,component_source_norm,component_lifted_probe_norm,expected_component_lifted_probe_norm,component_lift_reconstruction_error_norm,component_lift_norm_ratio,component_lift_norm_ratio_deviation,component_source_fraction_of_block,component_lifted_fraction_of_block,block_source_norm,block_lifted_probe_norm,component_source_observed_order,component_lifted_probe_observed_order,component_fraction_observed_order,h_sweep_present,source_is_endpoint_boundary_only,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.01,0.005,0.08,newton_euler_weak_balance,body1_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,translational_balance,3,9,12,36,3.9842430308629543e-15,3.9842430308629542e-16,3.9842430308629546e-16,0.0000000000000000e+00,9.9999999999999989e-01,1.1102230246251565e-16,3.0951301796513547e-01,3.0951301796513553e-01,1.2872618596325896e-14,1.2872618596325894e-15,6.8239507117927483e+00,7.3239507117927491e+00,-6.0469559855170371e-02,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.01,0.005,0.08,newton_euler_weak_balance,body1_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,rotational_balance,3,9,12,36,8.9407533515220803e-17,8.9407533515220793e-18,8.9407533515220809e-18,0.0000000000000000e+00,9.9999999999999978e-01,2.2204460492503131e-16,6.9455591219598090e-03,6.9455591219598099e-03,1.2872618596325896e-14,1.2872618596325894e-15,7.4188017915618634e+00,7.9188017915618634e+00,5.3438151991394456e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.04,0.005,0.08,newton_euler_weak_balance,body0_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,translational_balance,3,9,12,36,3.6581069574158287e-10,7.3162139148316569e-11,7.3162139148316582e-11,0.0000000000000000e+00,9.9999999999999978e-01,2.2204460492503131e-16,9.4481514403542277e-01,9.4481514403542277e-01,3.8717700287821379e-10,7.7435400575642756e-11,4.4756987230452028e+00,4.9756987230452019e+00,-9.2793889958286274e-03,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.04,0.005,0.08,newton_euler_weak_balance,body0_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,rotational_balance,3,9,12,36,9.2225585663448678e-12,1.8445117132689738e-12,1.8445117132689738e-12,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.3820006089684556e-02,2.3820006089684560e-02,3.8717700287821379e-10,7.7435400575642756e-11,3.5153463650248447e+00,4.0153463650248442e+00,-9.6963174701618005e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.04,0.005,0.08,newton_euler_weak_balance,body1_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,translational_balance,3,9,12,36,1.2648092775325603e-10,2.5296185550651207e-11,2.5296185550651207e-11,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.2667469093726237e-01,3.2667469093726237e-01,3.8717700287821379e-10,7.7435400575642756e-11,4.6160027168308773e+00,5.1160027168308755e+00,1.3102460478984584e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.04,0.005,0.08,newton_euler_weak_balance,body1_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,rotational_balance,3,9,12,36,2.4669347339226650e-12,4.9338694678453291e-13,4.9338694678453301e-13,0.0000000000000000e+00,9.9999999999999978e-01,2.2204460492503131e-16,6.3715941690334257e-03,6.3715941690334248e-03,3.8717700287821379e-10,7.7435400575642756e-11,3.1820161425066278e+00,3.6820161425066309e+00,-1.3029619695344015e+00,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,body0_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,translational_balance,3,9,12,36,3.2549817887081489e-11,4.6032393908685009e-12,4.6032393908685001e-12,0.0000000000000000e+00,1.0000000000000002e+00,2.2204460492503131e-16,9.4335335481400484e-01,9.4335335481400473e-01,3.4504374973574070e-11,4.8796555048835266e-12,4.4756987230452028e+00,4.9756987230452019e+00,-9.2793889958286274e-03,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,body0_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,rotational_balance,3,9,12,36,1.6837011028607216e-12,2.3811129346481704e-13,2.3811129346481699e-13,0.0000000000000000e+00,1.0000000000000002e+00,2.2204460492503131e-16,4.8796742562362626e-02,4.8796742562362619e-02,3.4504374973574070e-11,4.8796555048835266e-12,3.5153463650248447e+00,4.0153463650248442e+00,-9.6963174701618005e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,body1_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,translational_balance,3,9,12,36,1.1319301941766215e-11,1.6007910322641891e-12,1.6007910322641891e-12,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.2805410764389592e-01,3.2805410764389581e-01,3.4504374973574070e-11,4.8796555048835266e-12,4.6160027168308773e+00,5.1160027168308755e+00,1.3102460478984584e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,body1_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,rotational_balance,3,9,12,36,3.1591451721595185e-13,4.4677059479734770e-14,4.4677059479734770e-14,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,9.1557814757665338e-03,9.1557814757665303e-03,3.4504374973574070e-11,4.8796555048835266e-12,3.1820161425066278e+00,3.6820161425066309e+00,-1.3029619695344015e+00,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,body0_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,translational_balance,3,9,12,36,7.3895376299216969e-13,7.3895376299216979e-14,7.3895376299216979e-14,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,9.5704772368682867e-01,9.5704772368682889e-01,7.7211798816625672e-13,7.7211798816625664e-14,4.4756987230452028e+00,4.9756987230452019e+00,-9.2793889958286274e-03,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,body0_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,rotational_balance,3,9,12,36,7.0534569461540953e-14,7.0534569461540946e-15,7.0534569461540954e-15,0.0000000000000000e+00,9.9999999999999989e-01,1.1102230246251565e-16,9.1352060880043967e-02,9.1352060880043967e-02,7.7211798816625672e-13,7.7211798816625664e-14,3.5153463650248447e+00,4.0153463650248442e+00,-9.6963174701618005e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,body1_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,translational_balance,3,9,12,36,2.1033642439455165e-13,2.1033642439455166e-14,2.1033642439455166e-14,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.7241487391595498e-01,2.7241487391595504e-01,7.7211798816625672e-13,7.7211798816625664e-14,4.6160027168308773e+00,5.1160027168308755e+00,1.3102460478984584e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,body1_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,rotational_balance,3,9,12,36,2.9949739454794358e-14,2.9949739454794360e-15,2.9949739454794360e-15,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.8789070988908776e-02,3.8789070988908783e-02,7.7211798816625672e-13,7.7211798816625664e-14,3.1820161425066278e+00,3.6820161425066309e+00,-1.3029619695344015e+00,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
