case,h,reference_h,t_final,block,status,error_message,rows,probe_source,h_sweep_present,max_probe_block_norm,max_reference_block_residual_norm,max_non_equivalent_gap_norm,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.02,0.005,0.08,lower_pair_index3_weak_constraints,non_equivalent_probe_not_solved,,24,endpoint_position_velocity_boundary_correction,True,8.8721868280529951e-15,1.0744053318235425e-16,8.8721868280529951e-15,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.01,0.005,0.08,translational_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,2.0156987215905896e-17,1.1026430726558425e-17,2.0156987215905896e-17,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.01,0.005,0.08,rotational_lie_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,6.6315583019662126e-17,3.4411850267443224e-17,6.6315583019662126e-17,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.01,0.005,0.08,translational_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,4.9912597811200581e-16,1.6901776286511388e-16,4.9912597811200581e-16,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.01,0.005,0.08,angular_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,2.8555887982228039e-16,4.5293865928666628e-16,2.8555887982228039e-16,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.01,0.005,0.08,newton_euler_weak_balance,non_equivalent_probe_not_solved,,36,endpoint_position_velocity_boundary_correction,True,1.2872618596325894e-15,7.7257458704372316e-16,1.2872618596325894e-15,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.01,0.005,0.08,lower_pair_index3_weak_constraints,non_equivalent_probe_not_solved,,24,endpoint_position_velocity_boundary_correction,True,8.3336944176184345e-17,7.0076572711879113e-17,8.3336944176184345e-17,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.04,0.005,0.08,translational_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,4.1974522269976301e-13,2.4747963420603054e-17,4.1974522269976301e-13,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.04,0.005,0.08,rotational_lie_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,8.1541080120157065e-14,7.4989959776493981e-17,8.1541080120157065e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.04,0.005,0.08,translational_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,3.0191207276398363e-11,2.5005973895089212e-16,3.0191207276398363e-11,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.04,0.005,0.08,angular_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,8.0999399515149981e-12,8.2783337193943649e-16,8.0999399515149981e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.04,0.005,0.08,newton_euler_weak_balance,non_equivalent_probe_not_solved,,36,endpoint_position_velocity_boundary_correction,True,7.7435400575642756e-11,9.7567174329384692e-14,7.7435400575642756e-11,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.04,0.005,0.08,lower_pair_index3_weak_constraints,non_equivalent_probe_not_solved,,24,endpoint_position_velocity_boundary_correction,True,1.6012539037230039e-12,9.9105101574122304e-17,1.6012539037230039e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.02,0.005,0.08,translational_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,4.7998091783367329e-15,1.3781146058819747e-17,4.7998091783367329e-15,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.02,0.005,0.08,rotational_lie_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,1.0465327171160196e-14,6.7333028977081240e-17,1.0465327171160196e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.02,0.005,0.08,translational_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,1.9017198819073027e-12,1.8810904947824317e-16,1.9017198819073027e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.02,0.005,0.08,angular_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,1.0093070696953216e-12,7.3011721988484477e-16,1.0093070696953216e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,non_equivalent_probe_not_solved,,36,endpoint_position_velocity_boundary_correction,True,4.8796555048835266e-12,9.8800321356441386e-16,4.8796555048835266e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.02,0.005,0.08,lower_pair_index3_weak_constraints,non_equivalent_probe_not_solved,,24,endpoint_position_velocity_boundary_correction,True,6.1413028833224459e-14,8.5142151928362677e-17,6.1413028833224459e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.01,0.005,0.08,translational_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,6.5934127076962963e-17,1.1853879550862976e-17,6.5934127076962963e-17,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.01,0.005,0.08,rotational_lie_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,2.9381149208033326e-16,3.0711954335375471e-17,2.9381149208033326e-16,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.01,0.005,0.08,translational_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,2.9522801710674033e-14,1.5417046308095552e-16,2.9522801710674033e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.01,0.005,0.08,angular_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,3.5428234811509571e-14,4.0511838018643708e-16,3.5428234811509571e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,non_equivalent_probe_not_solved,,36,endpoint_position_velocity_boundary_correction,True,7.7211798816625664e-14,3.0172484950310621e-13,7.7211798816625664e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_sharp,0.01,0.005,0.08,lower_pair_index3_weak_constraints,non_equivalent_probe_not_solved,,24,endpoint_position_velocity_boundary_correction,True,9.8801905661008976e-16,4.2681466098832685e-17,9.8801905661008976e-16,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
