case,h,beta,t_final,status,error_message,newton_iterations,runtime_sec,max_homotopy_residual_norm,max_homotopy_stage_residual_norm,max_non_equivalent_stage_probe_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_endpoint_position_correction_norm,max_endpoint_velocity_correction_norm,max_weighted_endpoint_node_residual_norm,h_sweep_present,beta_path_present,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.01,0,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,4.50966054e-01,6.2628347276532731e-16,6.2365461212218813e-16,6.5413813631179350e-16,6.2365461212218813e-16,1.1199765137063273e-14,2.2939642504398190e-16,7.1509600440209987e-17,3.8416593164135560e-16,2.3772695389194500e-15,2.6373372651802495e-17,True,True,True,False,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.01,0.25,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,4.90761288e-01,6.8884892453608829e-16,6.8511349695282247e-16,6.4669079173519907e-16,7.3744627597813236e-16,1.2842333868964566e-14,4.3119117033523881e-16,9.8765135862602478e-17,4.5647867749990723e-16,2.3390013901400935e-15,3.8275791004164135e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.01,0.5,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,6.67453620e-01,6.7592766433024314e-16,6.7439097686235419e-16,6.4547954190918802e-16,7.8329025032037693e-16,1.3763890260702113e-14,4.4191910023099741e-16,5.1990823444375016e-17,5.2085602926894827e-16,2.3440936799006961e-15,4.0451087648808692e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.01,0.75,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,5.00553189e-01,4.4129508090271970e-16,4.4019619235059199e-16,6.4477148017252107e-16,7.4405814926560811e-16,1.3261619966499966e-14,2.9713743584386931e-16,3.4773711216114344e-17,4.5453355846515422e-16,2.3422631185282397e-15,2.3145466789963670e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.01,1,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,5.11424281e-01,6.0661369557249188e-16,6.0491747305564181e-16,6.4968922099910176e-16,9.6637648911686763e-16,1.6520797094899797e-14,5.1533236220151535e-16,4.8686536737396826e-17,3.4370815299288878e-16,2.3612678791087345e-15,3.7872383299296274e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.04,0,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.93327392e-01,8.4604138388491058e-16,8.3096196918156592e-16,2.3476393219731506e-11,8.3096196918156592e-16,7.5689863912063046e-15,5.3901495309228609e-16,1.8468328356851688e-16,6.0179232478165929e-13,4.3905937945907708e-11,1.2448603573937487e-16,True,True,True,False,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.04,0.25,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.53022158e-01,8.1022726384843717e-16,7.8640076282351746e-16,2.3374707621079738e-11,5.8437389678015860e-12,5.0608559002373177e-11,6.9840742749102534e-16,1.2311496443855794e-16,5.9948929296676194e-13,4.3658980140374709e-11,1.7437049099748254e-16,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.04,0.5,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.06548483e-01,1.3052645673159102e-15,1.2944525460459454e-15,2.3272407846500299e-11,1.1636722995121914e-11,1.0077691026911671e-10,2.1155264187077121e-16,6.4481081258313489e-17,5.9757327174839766e-13,4.3412471700167101e-11,1.3304624005121822e-16,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.04,0.75,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.81089027e-01,9.8327572947361467e-16,9.7786371759330588e-16,2.3169595035390950e-11,1.7377371084460029e-11,1.5049261095073005e-10,3.4828232699197711e-16,7.0393924503904264e-17,5.9535167470546932e-13,4.3166550066179163e-11,7.7856012188831758e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.04,1,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.25028923e-01,4.0294687194112784e-15,4.0261270375971040e-15,2.3066287780023359e-11,2.3067517845859910e-11,1.9977217325299715e-10,1.2088671406093949e-16,1.3265045228169873e-16,5.9327646249931322e-13,4.2921248488824582e-11,1.4094166058512357e-16,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.02,0,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,5.94872782e-01,7.6829746914568626e-16,7.6378690629921811e-16,1.2807253627740543e-13,7.6378690629921811e-16,9.1842393288187933e-15,5.3722554079684563e-16,6.2990866427955193e-17,1.0239062714493635e-15,3.3785569076033735e-13,7.2951481485683904e-17,True,True,True,False,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.02,0.25,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,6.43206338e-01,7.1085529699345450e-16,7.0651832562383722e-16,1.2780613999598888e-13,3.2090189888114339e-14,3.9304084351606318e-13,4.9754430820861966e-16,1.1262556752748111e-16,8.6797506391963118e-16,3.3693094280266236e-13,4.9445392804318106e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.02,0.5,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,5.79454962e-01,5.5118469816527387e-16,5.4518610296236834e-16,1.2753290883540165e-13,6.3822306076784263e-14,7.8226742633350399e-13,1.9548815540910022e-16,4.4137722796413183e-17,9.0821849709994819e-16,3.3600219952842131e-13,5.2908985616108389e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.02,0.75,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,4.18064970e-01,6.4565622276563916e-16,6.4157157317634844e-16,1.2725040040450479e-13,9.5289608973794575e-14,1.1671352926700698e-12,3.4364810225676812e-16,6.7913887113032720e-17,1.0319718778621603e-15,3.3505392647361521e-13,4.4937407187970754e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.02,1,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,4.74792527e-01,5.9925038036151578e-16,5.9607272908818382e-16,1.2696935367503390e-13,1.2695560965995174e-13,1.5546402206875676e-12,6.6043485043818667e-16,4.4525126249236002e-17,9.4654750731507702e-16,3.3411369829472091e-13,4.6526617740201594e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.01,0,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,4.77594679e-01,3.5440218668923613e-16,3.4600140179313522e-16,7.0776627558323883e-16,3.4600140179313522e-16,5.8656948687524740e-15,6.6743942356705306e-16,4.0524328508379861e-17,5.2293175202108400e-16,2.6350017057685388e-15,6.5172928060392314e-17,True,True,True,False,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.01,0.25,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,3.94006533e-01,5.2579420313685889e-16,5.2168167762819948e-16,6.9914767568744352e-16,5.9549633630807602e-16,1.0488888834338753e-14,4.3627050175591972e-16,8.9823797044022461e-18,2.9495953991339742e-16,2.6094400219609580e-15,4.1475990291784431e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.01,0.5,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,4.43443480e-01,5.0338528019605190e-16,4.9922365191243657e-16,7.0394592505681788e-16,6.2703824916789990e-16,1.1345140013678040e-14,4.6752828971591851e-16,1.2324214687300564e-17,4.4539777035696884e-16,2.6197398845711017e-15,4.6506870205035222e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.01,0.75,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,4.67959536e-01,5.3788891480151761e-16,5.2845574236164956e-16,7.0795049763760870e-16,8.0204958198739450e-16,1.4146161928471266e-14,6.3454091822363600e-16,5.6115249848972449e-17,5.8558911909161816e-16,2.6433710976362883e-15,6.6322846266985695e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_sharp,0.01,1,0.01,stage_probe_homotopy_solved_not_full_tfe,,6,6.20431176e-01,3.0382030337284799e-16,2.9528695093583399e-16,6.9729331324193850e-16,7.0094982261500952e-16,1.2105670278378888e-14,4.0111610616210380e-16,3.2273095138421721e-17,2.4287769933032043e-16,2.5966481143075502e-15,3.8097691757446834e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
